sid,lname,fname,mname,address,contactno,birthday,gender,dept,year,numberrange
485187,Vasquez,Avye,Booker,120-5092 Molestie St.,09814442037,2015-09-12,2,3,2018,1
334110,Lyons,Cailin,Faulkner,7987 Natoque St.,09238227018,2004-12-10,1,3,2021,1
158930,Gibbs,Mohammad,Richards,"Ap #289-2080 Eget, St.",09872861654,2000-01-24,2,1,2019,1
797404,Whitley,Hyatt,Ryan,596-6907 Eu St.,09640584117,2000-08-10,2,4,2020,1
643032,Nieves,Chloe,Vazquez,Ap #104-4036 Etiam Street,09912384970,2018-03-25,2,5,2017,1
374421,Hoover,Portia,York,342-3686 Odio. Avenue,09292316473,2017-01-29,2,3,2019,0
521047,Greene,Slade,Acevedo,Ap #145-9545 Libero Road,09336396163,2017-10-28,2,2,2018,1
682831,Oneil,Louis,Carey,810-2501 Primis Rd.,09276590720,1998-01-12,2,3,2019,1
598612,Cooper,Porter,Norris,Ap #255-950 Rutrum St.,09763327543,2015-02-18,1,4,2023,1
900841,Marks,Raya,Jordan,211-449 Non St.,09005875638,2016-10-17,1,1,2019,1
582343,Abbott,Ariel,Thornton,"P.O. Box 513, 7206 Blandit St.",09250671350,1997-11-17,2,2,2017,0
187670,Spears,Yael,Hopkins,920-8097 Risus. Rd.,09081742221,2005-04-21,1,5,2021,1
677058,Carter,Mary,Short,502-9035 Lacinia Rd.,09677761151,2014-05-16,1,2,2022,1
257319,Stafford,Finn,Jensen,Ap #654-5178 Cursus Av.,09078777783,2007-06-01,1,3,2021,1
399207,Whitney,Preston,Cunningham,Ap #586-7373 Nunc Rd.,09691290597,1999-10-26,1,3,2019,1
50143,Morrow,Leroy,Burt,"P.O. Box 570, 8351 Placerat Road",09167888278,2014-10-24,2,2,2018,0
622561,Estes,Chaney,Russo,Ap #819-8818 Suspendisse Rd.,09718582822,2014-11-15,1,3,2019,1
688729,Owens,Kirby,Reese,Ap #446-9042 Cras St.,09576557327,2006-12-22,2,2,2014,0
447500,Torres,Diana,Vang,3321 Augue Av.,09103017600,2014-11-23,2,3,2024,1
989721,Phillips,Bernard,Baird,"P.O. Box 429, 2209 Ullamcorper, St.",09680453295,2004-05-29,2,4,2021,1
189941,Slater,Fitzgerald,Hyde,534-803 Nunc Rd.,09854186359,1996-11-13,2,2,2021,1
151330,Bond,Linus,Spence,Ap #996-5907 Adipiscing Av.,09297455953,2004-05-31,2,2,2025,1
431480,Rivera,Courtney,Snider,627-7214 Dapibus Rd.,09745830956,2005-04-14,2,2,2025,0
806992,Combs,Karyn,Brooks,"364-4575 Non, Av.",09785545756,2005-11-10,1,5,2021,0
181212,Phillips,Kevin,Horton,564-3928 Porttitor St.,09184750670,1997-05-27,1,4,2017,1
834061,Gentry,Gil,Mcdonald,Ap #251-1810 Nulla St.,09554781610,2013-08-16,2,3,2021,1
781410,Keller,Isaac,Kirkland,204-9202 Nam St.,09612789231,1997-08-06,2,2,2021,0
610235,Schneider,Dorian,Cortez,4260 Et St.,09591571271,2001-05-12,1,3,2021,1
12857,Garza,Randall,Prince,"P.O. Box 946, 1668 Magnis St.",09744256549,2005-09-26,1,3,2023,0
813133,Beck,Ava,Pratt,409-6333 Luctus Av.,09533648823,2003-11-15,1,4,2015,0
515691,Ray,Fatima,Newman,974-5584 Natoque Road,09887716972,2016-05-12,2,1,2015,1
525586,Mcdowell,Quemby,Charles,661-5206 Donec Rd.,09869220281,2002-05-26,2,5,2021,1
