sid,lname,fname,mname,address,contactno,birthday,gender,dept
136479,Welch,Moses,Santana,332-7062 Mi Rd.,09569643679,1997-03-10,1,3
761387,Todd,Harper,Huff,Ap #853-1519 Libero. St.,09764652362,2001-10-30,1,2
532150,Wiley,Hamilton,Mclaughlin,Ap #263-4797 Urna. Ave,09324778447,2015-01-22,2,4
496577,Garner,Roanna,Bolton,Ap #987-9515 Nunc Rd.,09872477282,2015-04-23,1,4
85375,Hatfield,Gillian,Mathis,Ap #468-6909 Ornare Avenue,09652510499,2002-07-05,1,3
524620,Floyd,Bertha,Davidson,Ap #362-8688 Curabitur St.,09877136187,2014-07-09,2,1
61959,Forbes,Hashim,Bentley,4575 Diam. Av.,09315772518,2009-04-22,1,5
245161,Hamilton,Talon,Houston,496-9434 Integer St.,09942395837,1999-06-30,2,2
274766,Blanchard,Berk,Snider,"Ap #474-2987 Montes, Ave",09356326371,2012-01-06,2,1
187582,Hurley,Nadine,Hanson,"173-6765 Sed, Rd.",09174733733,2003-05-05,1,1
823239,Nunez,Carter,Whitfield,361-1819 Inceptos Rd.,09468299118,2013-03-02,1,2
822014,Roth,Chase,Burton,391-4342 Et Ave,09188625356,2001-06-25,2,4
665536,Donovan,Upton,Barr,Ap #194-9208 Donec Road,09522786765,2016-02-04,1,2
80740,Gutierrez,Armand,Gutierrez,"P.O. Box 539, 9684 Est. Ave",09577815814,1997-07-04,1,3
706757,Stevenson,Quentin,Beasley,"P.O. Box 102, 7360 Vel Rd.",09467401441,2005-02-01,1,5
425682,Delaney,Kelsey,Livingston,2374 In St.,09568681386,1999-01-22,1,4
744058,Wyatt,Dean,Dickerson,9984 Morbi Ave,09345278443,2007-09-23,2,5
919715,Griffith,Alexander,Clayton,Ap #382-5986 Ultricies Avenue,09327616418,2001-09-24,2,4
696497,Freeman,Zeus,Simon,Ap #618-7884 Mi Avenue,09453488276,2014-03-28,1,1
922842,Waters,Sigourney,Craig,Ap #351-2207 Curae St.,09806915801,2013-09-27,1,3
357301,Petty,Teegan,Summers,Ap #355-8969 Morbi St.,09692347116,2009-12-31,2,2
187514,Lowe,Clementine,Franco,471-4113 Aliquam Rd.,09374124662,1998-08-13,1,2
977451,Barrera,Eliana,Cruz,"491-7084 Vel, Ave",09287432305,2016-04-27,1,3
911855,Larsen,India,Benton,541-7582 Imperdiet Street,09557982137,2008-12-19,1,4
361032,Burt,Hu,Irwin,842-7824 Nibh St.,09027947669,2004-05-30,1,2
28533,Nichols,Cheyenne,Wells,Ap #857-4485 Luctus Rd.,09851673608,2002-09-27,2,2
85863,Pickett,Kim,David,753-4934 Duis Rd.,09360618698,2016-12-25,1,5
910290,Monroe,Cody,Green,8236 Sem Rd.,09334351478,1999-09-28,2,2
389843,Espinoza,Amela,Rodriguez,"P.O. Box 197, 9797 Enim. Street",09512821610,2005-12-12,2,4
989460,Mercer,Tanner,Morgan,6284 Dapibus St.,09453584855,2011-05-19,2,2
928346,Blevins,Stephanie,Lester,"P.O. Box 525, 6067 Molestie Av.",09612301443,2008-05-07,2,2
905630,Mcclure,Katell,Barlow,Ap #630-1316 Mattis. St.,09222877286,2014-10-13,1,4
479803,Mathews,Sylvia,Castaneda,5808 Ornare Rd.,09773513953,1998-12-02,2,2
779178,Cooper,Kameko,Kaufman,209-9997 Ac Street,09657438542,2002-02-09,2,4
133316,Foreman,Jamal,Shaw,Ap #530-3074 Felis. Rd.,09568248412,2009-11-13,2,1
507671,Russo,Bethany,Haley,945-9748 A Road,09328195888,2015-07-11,1,5
403295,Booker,Whilemina,Fulton,Ap #505-188 Fusce Av.,09078074596,2004-03-20,2,1
197295,Lowery,Diana,Lott,824-1608 Adipiscing St.,09616565977,1997-12-10,1,2
175259,Atkins,Maile,Hodge,6352 Tincidunt Rd.,09053156870,2012-10-12,2,2
747110,Cherry,Quon,Puckett,137-9982 Vitae Street,09758661733,2005-03-11,1,3
44826,Houston,Carissa,Sweeney,364-9159 Gravida Road,09641244411,1999-12-09,1,2
531233,Stokes,Lynn,Sherman,"Ap #823-5892 Elementum, Street",09112534580,2001-07-08,2,3
689564,Rollins,Lucius,Shaffer,Ap #431-3478 Enim. St.,09124403457,2007-08-09,2,1
406117,Sullivan,Jack,Bowers,Ap #611-9452 Tellus Road,09668391224,2018-06-24,1,4
882808,Burch,Mia,Shaw,"Ap #633-6563 Facilisis, Rd.",09512163943,2009-08-17,2,3
625770,Cook,Colt,Roach,"P.O. Box 389, 9114 Libero Road",09746205617,2004-02-28,1,4
41264,Adams,Price,Blair,Ap #883-8510 Nullam Rd.,09892315925,2018-05-19,2,5
332128,Lawrence,Sylvester,Owens,Ap #137-3403 Molestie Rd.,09773604904,2007-01-27,1,4
346622,Richard,Eve,Rojas,Ap #586-3008 Interdum. Av.,09260192894,1997-11-15,2,3
202198,Manning,Baxter,Valdez,"P.O. Box 373, 1737 Eu Av.",09151452525,2010-04-23,2,3
804614,Clemons,Gretchen,Butler,Ap #929-6643 Convallis Av.,09357486334,2006-07-20,1,4
